L_markov,T_markov,activity_late_markov,alpha_async,autocorr_late_markov,bias_mean_late_markov,block_fraction_markov,coherence_late_markov,config_id_markov,corr_A_late_markov,corr_B_late_markov,dephase_markov,diagonal_ablation,entropy_late_markov,eta_intrinsic_markov,eta_weight,formalism_markov,gamma,geometry,imprint_duration_markov,imprint_start_markov,imprint_strength_markov,interface_density_late_markov,intrinsic_bias_limit_markov,intrinsic_enabled,intrinsic_target_activity_markov,lesion_fraction_markov,lesion_time_markov,memory_mean_late_markov,memory_strength,metric_stride_markov,neighbor_pattern_entropy_late_markov,orientation_anisotropy_late_markov,p0_markov,plasticity,profile_markov,repair_reference_corr_markov,save_dense_markov,schedule,second_imprint_duration_markov,second_imprint_start_markov,second_lesion_time_markov,seed,sensitivity_point_markov,sequential_events_per_sweep_markov,sigma_birth,sigma_survive,snapshot_every_markov,spectral_peak_fraction_late_markov,structural_additions_total_markov,structural_enabled,structural_interval_markov,structural_link_fraction_late_markov,structural_min_degree_markov,structural_removals_total_markov,structural_rewire_probability_markov,structural_swap_tolerance_markov,structural_target_fraction_markov,structural_utility_tau_markov,task,tau_memory_markov,theta_input_markov,theta_memory_markov,theta_phase_markov,weight_decay_markov,weight_sum_markov,L_ql,T_ql,activity_late_ql,autocorr_late_ql,bias_mean_late_ql,block_fraction_ql,coherence_late_ql,config_id_ql,corr_A_late_ql,corr_B_late_ql,dephase_ql,entropy_late_ql,eta_intrinsic_ql,formalism_ql,imprint_duration_ql,imprint_start_ql,imprint_strength_ql,interface_density_late_ql,intrinsic_bias_limit_ql,intrinsic_target_activity_ql,lesion_fraction_ql,lesion_time_ql,memory_mean_late_ql,metric_stride_ql,neighbor_pattern_entropy_late_ql,orientation_anisotropy_late_ql,p0_ql,profile_ql,repair_reference_corr_ql,save_dense_ql,second_imprint_duration_ql,second_imprint_start_ql,second_lesion_time_ql,sensitivity_point_ql,sequential_events_per_sweep_ql,snapshot_every_ql,spectral_peak_fraction_late_ql,structural_additions_total_ql,structural_interval_ql,structural_link_fraction_late_ql,structural_min_degree_ql,structural_removals_total_ql,structural_rewire_probability_ql,structural_swap_tolerance_ql,structural_target_fraction_ql,structural_utility_tau_ql,tau_memory_ql,theta_input_ql,theta_memory_ql,theta_phase_ql,weight_decay_ql,weight_sum_ql,d_activity_late,d_entropy_late,d_repair_reference_corr,d_neighbor_pattern_entropy_late,divergence_score
72,500,0.4358031452572866,0.5,0.0074915530405987,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__lesion__s3__91319c7ed1,-0.0158308496824905,-0.0077846163845158,0.25,False,0.8457820880271468,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2389321071485155,0.3,0,0.42,0.08,280,0.4440906467093039,0.2,20,0.701073715302244,2.495752261897391e-18,0.2,plastic,secondary,-0.049993356852314,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0173506279615668,0,0,35,0.9902692043895748,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4108260454250706,-0.0452758463324953,0.0,0.125,0.1313881653853535,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__lesion__s3__a4756408c6,0.006473904726854,0.0084045895187655,0.25,0.828669026084756,0.003,ql,50,100,0.9,0.2441396314740018,0.3,0.42,0.08,280,0.4465227464886339,20,0.2881271718227197,2.6773073992859612e-18,0.2,secondary,-0.0753520078108111,False,50,250,390,-1,1.0,100,0.0026590621360934,0,35,0.9906550068587106,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.024977099832215965,0.017113061942390817,0.025358650958497098,0.41294654347952436,0.48039535621262824
72,500,0.4195605953932237,0.5,-0.0505821966617576,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__alpha_async__lesion__s2__70b157028f,-0.0030541777005187,-0.0056160240361419,0.25,False,0.8335615679788555,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2490365692976111,0.3,0,0.42,0.08,280,0.4413165290047608,0.2,20,0.3854034610857278,2.3583022934208383e-18,0.2,plastic,secondary,-0.0243856198838654,False,alpha_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0028827579654958,38365,1,35,0.7777563443072703,2,38333,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4704285212002491,-0.0503481434385634,0.0,0.125,0.1321229711611511,extended_hex_r2__ql__plastic__intr0__struct1__alpha_async__lesion__s2__dc8c63b594,-0.0058125550640457,0.0011498412664029,0.25,0.8492271582322765,0.003,ql,50,100,0.9,0.2526084904278182,0.3,0.42,0.08,280,0.4406611492098923,20,0.8294531072395142,2.62714731342548e-18,0.2,secondary,0.0496329607007331,False,50,250,390,-1,1.0,100,0.00289914374615,39376,35,0.777767061042524,2,39347,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.05086792580702537,0.015665590253420958,0.0740185805845985,0.44404964615378634,0.5846017427988311
72,500,0.4073215300410702,0.5,-0.0523460050831805,0.0529381196720782,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__alpha_async__lesion__s3__6a0bfb0d4b,0.0284928222382297,0.0174338042129222,0.25,False,0.8246943297432718,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2463725126578707,0.3,1,0.42,0.08,280,0.4387917144180833,0.2,20,0.2804342913280647,2.583799231331215e-18,0.2,plastic,secondary,-0.0258082135124913,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0030768449429856,0,0,35,0.9891439471879286,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4104777822944421,-0.0412264635795781,0.0293949080167653,0.125,0.1399922618179498,extended_hex_r2__ql__plastic__intr1__struct0__alpha_async__lesion__s3__c4bd960719,0.0093686879261324,0.0051989506704959,0.25,0.828616992363132,0.003,ql,50,100,0.9,0.2448166836711187,0.3,0.42,0.08,280,0.4396991377111575,20,0.3551339861892217,2.3807916406751817e-18,0.2,secondary,-0.0951904156651143,False,50,250,390,-1,1.0,100,0.0040810901530076,0,35,0.988843878600823,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.003156252253371905,0.003922662619860184,0.069382202152623,0.07469969486115702,0.1511608118870121
72,500,0.4295718428713725,0.5,-0.0440533595787538,0.062648229755441,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct1__alpha_async__lesion__s3__c614ad378f,0.022466501370764,-0.0054194657313088,0.25,False,0.831204367026408,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.256567742783868,0.3,1,0.42,0.08,280,0.4223523834746159,0.2,20,0.5938596155433166,2.613054093553767e-18,0.2,plastic,secondary,0.0357140408762113,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.005843555674303,38698,1,35,0.7777027606310014,2,38638,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.398702184384604,-0.0738596815570485,0.0362323493340117,0.125,0.1527488559263833,extended_hex_r2__ql__plastic__intr1__struct1__alpha_async__lesion__s3__b06a79f571,0.0040964241542881,-0.0087279929765715,0.25,0.8082656897475433,0.003,ql,50,100,0.9,0.2614263325273552,0.3,0.42,0.08,280,0.4242102539449071,20,0.2759181453904128,2.726457440557899e-18,0.2,secondary,-0.0435581991643878,False,50,250,390,-1,1.0,100,0.0055605759715366,39518,35,0.7776063100137174,2,39441,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.030869658486768536,0.022938677278864672,0.0792722400405991,0.31794147015290375,0.4510220459591361
72,500,0.4359163737671888,0.5,0.0076643343338665,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__alpha_async__repeated_lesion__s3__ba229c1dc4,-0.0162004723948378,-0.0077271518895967,0.25,False,0.8457985363180521,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2389264676981309,0.3,0,0.42,0.08,280,0.4440879967094705,0.2,20,0.7026711588191688,2.6550059832174483e-18,0.2,plastic,secondary,-0.0500867293050793,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0174023352812007,0,0,35,0.9902906378600824,2,0,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4106988638232118,-0.0459696817196813,0.0,0.125,0.1313964590143312,extended_hex_r2__ql__plastic__intr0__struct0__alpha_async__repeated_lesion__s3__1c39b15daf,0.0066581062558669,0.007996656226566,0.25,0.828035047065876,0.003,ql,50,100,0.9,0.2446996018200757,0.3,0.42,0.08,280,0.4465434025150357,20,0.2878766032013347,2.7213767351156205e-18,0.2,secondary,-0.0744377361640059,False,50,250,390,-1,1.0,100,0.0026659174372872,0,35,0.9906442901234568,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.02521750994397698,0.01776348925217608,0.024351006858926598,0.41479455561783407,0.48212656167291373
72,500,0.4194408946400302,0.5,-0.0518142065349984,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__alpha_async__repeated_lesion__s2__c6369d3789,-0.0009785020479315,-0.002201948295274,0.25,False,0.8342767705170789,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2485951260794618,0.3,0,0.42,0.08,280,0.4412796207180141,0.2,20,0.3799406002800982,2.7030608449727734e-18,0.2,plastic,secondary,-0.0158818276111143,False,alpha_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0031431847301754,38365,1,35,0.777767061042524,2,38332,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4704289770990221,-0.0502903415927106,0.0,0.125,0.1318881364597881,extended_hex_r2__ql__plastic__intr0__struct1__alpha_async__repeated_lesion__s2__bb485ce252,-0.0095595737926386,0.0002803810296801,0.25,0.848317298633247,0.003,ql,50,100,0.9,0.253299896188214,0.3,0.42,0.08,280,0.4406528665124867,20,0.8271996022047743,2.5998298076049174e-18,0.2,secondary,0.0374252816552199,False,50,250,390,-1,1.0,100,0.0029830895959019,39376,35,0.7777456275720165,2,39347,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.05098808245899189,0.014040528116168072,0.053307109266334196,0.4472590019246761,0.5655947217661703
72,500,0.4070764658913933,0.5,-0.0528698845630565,0.0529528035272516,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__alpha_async__repeated_lesion__s3__7fa528989a,0.0281653553854674,0.0169519629929363,0.25,False,0.824928438531507,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2461002206312069,0.3,1,0.42,0.08,280,0.4387605673208143,0.2,20,0.2771520477027846,2.5534099595520534e-18,0.2,plastic,secondary,-0.0257302240609655,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0029775827789578,0,0,35,0.9890903635116598,2,0,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4105505754622914,-0.0410988486695204,0.029400102381735,0.125,0.1399505313311711,extended_hex_r2__ql__plastic__intr1__struct0__alpha_async__repeated_lesion__s3__b6bf67a5b4,0.0092666801428606,0.005196573264395,0.25,0.8286422238495994,0.003,ql,50,100,0.9,0.2448668896533708,0.3,0.42,0.08,280,0.4397061190479402,20,0.3565413625954342,2.622077311686969e-18,0.2,secondary,-0.0959646794416825,False,50,250,390,-1,1.0,100,0.0041272610481252,0,35,0.9888331618655692,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.0034741095708981096,0.0037137853180924107,0.07023445538071699,0.07938931489264955,0.15681166516235706
72,500,0.427985665584764,0.5,-0.0445446645668578,0.062679365637473,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct1__alpha_async__repeated_lesion__s3__ee5626d07a,0.0266896481311367,-0.0058665451723732,0.25,False,0.8304968171842149,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.256261900988096,0.3,1,0.42,0.08,280,0.4222363176521138,0.2,20,0.5824675209964443,2.401882442167522e-18,0.2,plastic,secondary,0.0542536691367174,False,alpha_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0054716053715662,38696,1,35,0.7776813271604939,2,38636,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.3991523896315992,-0.0742609802834008,0.0361980437766087,0.125,0.1524985468722802,extended_hex_r2__ql__plastic__intr1__struct1__alpha_async__repeated_lesion__s3__4ebf5ffb1f,0.0049244222555773,-0.0092276811004232,0.25,0.8081806543927474,0.003,ql,50,100,0.9,0.261522409581403,0.3,0.42,0.08,280,0.4245704036774676,20,0.272552923080692,2.568039325972847e-18,0.2,secondary,-0.0395285430833661,False,50,250,390,-1,1.0,100,0.0056964770198469,39521,35,0.7776063100137174,2,39444,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.02883327595316476,0.02231616279146742,0.0937822122200835,0.30991459791575227,0.45484624888046793
72,500,0.438163542291584,0.5,-0.1208792919237818,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__block_async__lesion__s2__a51a226efa,-0.08697263252296,-0.0148999400268483,0.25,False,0.9666088825705228,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.0643501147967578,0.3,0,0.42,0.08,280,0.4377043833189036,0.2,20,0.0166192158110189,4.790029037266689e-18,0.2,plastic,secondary,-0.0736547258358051,False,block_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0208456143751738,0,0,35,0.9882651748971192,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4191773883697404,-0.1472469479373048,0.0,0.125,0.1692087401952439,extended_hex_r2__ql__plastic__intr0__struct0__block_async__lesion__s2__f68a2c5f29,0.0094106018154982,-0.0036188502089656,0.25,0.8898845938847151,0.003,ql,50,100,0.9,0.176420635733652,0.3,0.42,0.08,280,0.4191573510039512,20,0.1129135111359731,2.856699740600822e-18,0.2,secondary,0.0088804777210259,False,50,250,390,-1,1.0,100,0.0365540346713773,0,35,0.985693158436214,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.018986153921843607,0.07672428868580772,0.082535203556831,0.0962942953249542,0.2745399414894365
72,500,0.4145014433765941,0.5,-0.14749747726692,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__block_async__lesion__s1__c1c043dc50,-0.0072972364988416,-1.7230695674572747e-05,0.25,False,0.8411863281515956,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.238743107524257,0.3,0,0.42,0.08,280,0.4141761335697717,0.2,20,0.1924891861849209,2.457686942760905e-18,0.2,plastic,secondary,-0.0070153598081953,False,block_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0155748169750817,39435,1,35,0.7776920438957476,2,39343,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.3965737072626136,-0.1469930903936286,0.0,0.125,0.1932795133646558,extended_hex_r2__ql__plastic__intr0__struct1__block_async__lesion__s1__e118036ddc,0.0260032596879118,0.0226303380563871,0.25,0.7782893434945194,0.003,ql,50,100,0.9,0.2834422872173117,0.3,0.42,0.08,280,0.3953409192567815,20,0.2846591819673358,2.4783642535629942e-18,0.2,secondary,0.0247656970284272,False,50,250,390,-1,1.0,100,0.0141367954354002,39405,35,0.7775205761316872,2,39247,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.01792773611398052,0.06289698465707616,0.0317810568366225,0.09216999578241492,0.2047757733900941
72,500,0.363164098183631,0.5,-0.1590769402639761,0.1052903167175436,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__block_async__lesion__s3__a994242de5,0.0218374081601406,-0.0021512453473857,0.25,False,0.7500614580869004,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2799561009444427,0.3,1,0.42,0.08,280,0.3609990565961191,0.2,20,0.1633824806882678,2.4267283057587665e-18,0.2,plastic,secondary,0.0260380763569401,False,block_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0179306549284562,0,0,35,0.9549039780521262,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.3483166033507955,-0.1558546175439685,0.0941663169936798,0.125,0.2344869530406444,extended_hex_r2__ql__plastic__intr1__struct0__block_async__lesion__s3__b532c47527,0.0265080651469354,0.009321803412487,0.25,0.7316008240190068,0.003,ql,50,100,0.9,0.2808645815367722,0.3,0.42,0.08,280,0.3461417903556322,20,0.2595988037151489,2.4523445060645645e-18,0.2,secondary,0.027443090011038,False,50,250,390,-1,1.0,100,0.0112552152679572,0,35,0.9375643004115226,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.014847494832835484,0.018460634067893555,0.001405013654097901,0.09621632302688107,0.130929465581708
72,500,0.343317089869824,0.5,-0.1662532811515638,0.123077332341424,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct1__block_async__lesion__s1__d7d62d67e7,0.0322078270433935,0.001596498959176,0.25,False,0.7054473788196223,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.298483963407539,0.3,1,0.42,0.08,280,0.3425631290799891,0.2,20,0.3385851936756914,2.943618025522967e-18,0.2,plastic,secondary,0.0314217600203462,False,block_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0161668307938404,37953,1,35,0.77644890260631,2,37531,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.3347833722884644,-0.163750836383756,0.1084061271687123,0.125,0.2441832798187979,extended_hex_r2__ql__plastic__intr1__struct1__block_async__lesion__s1__3bb98f13f5,0.0411459093143278,0.0056726178661187,0.25,0.689373771606928,0.003,ql,50,100,0.9,0.3023835821311588,0.3,0.42,0.08,280,0.3330488882064426,20,0.4064389854377227,2.603377092924177e-18,0.2,secondary,0.0378354173442873,False,50,250,390,-1,1.0,100,0.007807004923115,38155,35,0.7759452160493827,2,37563,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.008533717581359623,0.01607360721269424,0.006413657323941106,0.06785379176203132,0.0988747738800263
72,500,0.4381839451372498,0.5,-0.1210344460694987,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__block_async__repeated_lesion__s2__88d32682f7,-0.0864884796771493,-0.014734788365838,0.25,False,0.9665777924428024,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.0645310472666947,0.3,0,0.42,0.08,280,0.4377053206226065,0.2,20,0.0162268770129635,5.178804108943878e-18,0.2,plastic,secondary,-0.0737467828101682,False,block_async,50,250,390,2,-1,1.0,0.6,0.6,100,0.0215909218472843,0,0,35,0.9882651748971192,2,0,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4193288523111904,-0.1477635453517899,0.0,0.125,0.1685527591117456,extended_hex_r2__ql__plastic__intr0__struct0__block_async__repeated_lesion__s2__869013453b,0.0068784914173766,-0.0038327733238582,0.25,0.8894933073273978,0.003,ql,50,100,0.9,0.1771425035899232,0.3,0.42,0.08,280,0.419694488098933,20,0.1138865482712283,2.9342912012407508e-18,0.2,secondary,0.0082237520354859,False,50,250,390,-1,1.0,100,0.0380100389600973,0,35,0.9858539094650206,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.018855092826059405,0.07708448511540456,0.08197053484565409,0.0976596712582648,0.27556978404538285
72,500,0.4134832575860157,0.5,-0.1486690777192085,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__block_async__repeated_lesion__s1__fcedc70d15,-0.0095093066285278,-0.0033943851526696,0.25,False,0.8409180264481918,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.238650934325418,0.3,0,0.42,0.08,280,0.4130561894050613,0.2,20,0.1705391793888071,2.336330236431649e-18,0.2,plastic,secondary,-0.0074392210160685,False,block_async,50,250,390,1,-1,1.0,0.6,0.6,100,0.0161775317323848,39441,1,35,0.7776920438957476,2,39348,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.3976199456892372,-0.1474642294122623,0.0,0.125,0.1909813046187911,extended_hex_r2__ql__plastic__intr0__struct1__block_async__repeated_lesion__s1__eb5d67b6c0,0.0189609057711369,0.0221146038881528,0.25,0.7782249109343491,0.003,ql,50,100,0.9,0.2845910037377489,0.3,0.42,0.08,280,0.3967650349838885,20,0.2870736297145255,2.7639592442582065e-18,0.2,secondary,0.0134651245602118,False,50,250,390,-1,1.0,100,0.0168261010920163,39432,35,0.7775420096021948,2,39278,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.015863311896778476,0.06269311551384271,0.0209043455762803,0.11653445032571838,0.21599522331261986
72,500,0.3635160799922351,0.5,-0.1588777199981682,0.1052103593500978,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__block_async__repeated_lesion__s3__6889391029,0.022236742146363,-0.0016679285772355,0.25,False,0.7520301732628961,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2786132028059978,0.3,1,0.42,0.08,280,0.3614203473169578,0.2,20,0.1642882299368393,2.6178484098174778e-18,0.2,plastic,secondary,0.026896510846529,False,block_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0162132318098646,0,0,35,0.9548075274348422,2,0,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.3485221297667112,-0.1553267067742431,0.0941099175504252,0.125,0.2334769668943807,extended_hex_r2__ql__plastic__intr1__struct0__block_async__repeated_lesion__s3__3b56ae08fe,0.0278421089947381,0.0072581786315634,0.25,0.731931901409396,0.003,ql,50,100,0.9,0.2806013577385446,0.3,0.42,0.08,280,0.3462095952588301,20,0.2589528619816228,2.50909021495164e-18,0.2,secondary,0.0309564032758051,False,50,250,390,-1,1.0,100,0.0107889275802017,0,35,0.9375428669410152,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.014993950225523911,0.020098271853500105,0.0040598924292761,0.09466463204478351,0.13381674655308362
72,500,0.3394922559538905,0.5,-0.1633931904122031,0.1256357540395963,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct1__block_async__repeated_lesion__s3__7e35599712,0.0331570936376395,0.0071286380080972,0.25,False,0.7045093255196124,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.2944756604832012,0.3,1,0.42,0.08,280,0.3384615072101995,0.2,20,0.3558130219643032,2.5553759742677884e-18,0.2,plastic,secondary,0.0304122652203703,False,block_async,50,250,390,3,-1,1.0,0.6,0.6,100,0.0097253599844594,38224,1,35,0.7765024862825789,2,37762,0.55,0.0,0.75,35.0,repeated_lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.334990809065568,-0.1641801130301008,0.1102742498240517,0.125,0.2465576306343716,extended_hex_r2__ql__plastic__intr1__struct1__block_async__repeated_lesion__s3__180d2de752,0.028347776127774,0.0052884525771523,0.25,0.6868151924627875,0.003,ql,50,100,0.9,0.3041273825550293,0.3,0.42,0.08,280,0.3334824393848982,20,0.4235802930881046,2.5126621369312603e-18,0.2,secondary,0.0186624822205166,False,50,250,390,-1,1.0,100,0.0252537607964569,38443,35,0.775934499314129,2,37883,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.004501446888322491,0.01769413305682488,0.0117497829998537,0.06776727112380138,0.10171263406880245
72,500,0.4178375223797715,0.5,0.4289213347645425,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct0__synchronous__lesion__s3__46f14a52d9,-0.0098596463783503,0.0493805551710306,0.25,False,0.8619385340564385,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.1550512253102995,0.3,0,0.42,0.08,280,0.413678273824114,0.2,20,1.205253361524808,3.764830309206542e-18,0.2,plastic,secondary,0.0190684844061654,False,synchronous,50,250,390,3,-1,1.0,0.6,0.6,100,0.0093634985547762,0,0,35,0.9895297496570644,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.404904565977787,0.4226325652657586,0.0,0.125,0.2188735261158327,extended_hex_r2__ql__plastic__intr0__struct0__synchronous__lesion__s3__407d43a311,-0.0326817418709458,-0.0122265876995154,0.25,0.8479635920733942,0.003,ql,50,100,0.9,0.158778757185606,0.3,0.42,0.08,280,0.4078294756555773,20,1.216749461626935,3.329510587125371e-18,0.2,secondary,-0.0251977523540032,False,50,250,390,-1,1.0,100,0.0089066080577876,0,35,0.9913087277091908,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.012932956401984497,0.013974941983044276,0.044266236760168595,0.011496100102126983,0.08267023524732435
72,500,0.4026050193191489,0.5,0.3850554334574531,0.0,0.125,0.0,extended_hex_r2__markov__plastic__intr0__struct1__synchronous__lesion__s2__42a90d45a1,-0.0403276737095177,-0.0182912132322446,0.25,False,0.8545700613895111,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.161173066979255,0.3,0,0.42,0.08,280,0.4150081339444162,0.2,20,1.14473844263956,3.8720213542449926e-18,0.2,plastic,secondary,-0.093588473282096,False,synchronous,50,250,390,2,-1,1.0,0.6,0.6,100,0.0080550437088216,37996,1,35,0.7777777777777778,2,37989,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4074010907783932,0.3906382493163674,0.0,0.125,0.2133220999864686,extended_hex_r2__ql__plastic__intr0__struct1__synchronous__lesion__s2__b0a540e57f,0.0072864925954713,-0.0093431518502456,0.25,0.8478519910938844,0.003,ql,50,100,0.9,0.166736017546257,0.3,0.42,0.08,280,0.4082200394781496,20,1.2131584774740487,3.923903999292088e-18,0.2,secondary,0.0233899331128817,False,50,250,390,-1,1.0,100,0.0109584189822679,38846,35,0.777767061042524,2,38842,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.004796071459244322,0.006718070295626655,0.1169784063949777,0.06842003483448877,0.19691258298433745
72,500,0.4032593309439078,0.5,0.4316920901829593,0.1173469365045402,0.125,0.0,extended_hex_r2__markov__plastic__intr1__struct0__synchronous__lesion__s3__df4fdbedda,-0.0168100905055074,-0.0145731590399017,0.25,False,0.8641367808209581,0.003,0.016,markov,0.68,extended_hex_r2,50,100,0.9,0.1481057138961065,0.3,1,0.42,0.08,280,0.4066082844012616,0.2,20,1.1672459967266486,3.7737526940909e-18,0.2,plastic,secondary,-0.0355713796763258,False,synchronous,50,250,390,3,-1,1.0,0.6,0.6,100,0.0090736868930937,0,0,35,0.9901834705075446,2,0,0.55,0.0,0.75,35.0,lesion,30.0,0.45,0.2,0.1,0.002,8.0,72,500,0.4015810142490637,0.4152162805665303,0.0887362978885224,0.125,0.2289052030651004,extended_hex_r2__ql__plastic__intr1__struct0__synchronous__lesion__s3__2877aa0597,-0.0417423086137823,0.0039298708067506,0.25,0.8537619874943865,0.003,ql,50,100,0.9,0.1563534574746088,0.3,0.42,0.08,280,0.4033778706854097,20,1.1986160692973258,3.6200652426801074e-18,0.2,secondary,-0.0915439895236554,False,50,250,390,-1,1.0,100,0.0077284237141247,0,35,0.9905799897119342,2,0,0.55,0.0,0.75,35.0,30.0,0.45,0.2,0.1,0.002,8.0,0.0016783166948441397,0.010374793326571652,0.0559726098473296,0.03137007257067714,0.09939579243942254
